Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
41S1246,431036,431334,2,1/28/2017,1445,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Serious,Male,23
41T0497,424150,435969,2,1/29/2017,1045,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,41
41T1161,430782,438592,2,1/29/2017,1730,A61,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,49
41U0187,431949,428020,2,1/30/2017,0705,M62,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,35
41U0272,432059,435965,2,1/30/2017,0846,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,30
41U0518,436864,433662,2,1/30/2017,1146,A6210,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,66
41U0676,430097,433239,2,1/30/2017,1329,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,55
41U0857,433169,436159,2,1/30/2017,1510,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,66
41U0857,433169,436159,2,1/30/2017,1510,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,31
41U1239,420178,441796,1,1/30/2017,1823,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,13
41U1598,430637,438185,2,1/30/2017,2144,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,40
41U1598,430637,438185,2,1/30/2017,2144,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,49
41V0011,428164,436724,1,1/31/2017,0009,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,24
41V0227,425027,433155,1,1/31/2017,0814,A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,50
4210168,431900,430373,2,2/1/2017,0710,A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Female,59
4210168,431900,430373,2,2/1/2017,0710,A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Male,43
4210950,428087,426535,2,2/1/2017,1534,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33
4211417,431765,435538,2,2/1/2017,1915,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22
4220251,431971,437046,2,2/2/2017,0820,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,31
4220251,431971,437046,2,2/2/2017,0820,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,6
4220251,431971,437046,2,2/2/2017,0820,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,3
4220293,434423,425867,2,2/2/2017,0901,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45
4220293,434423,425867,2,2/2/2017,0901,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,67
4220549,427569,436873,2,2/2/2017,0840,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,28
4220566,430675,436800,1,2/2/2017,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Pedestrian,Serious,Female,40
4220566,430675,436800,1,2/2/2017,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,24
4220616,440575,432100,2,2/2/2017,1230,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,80
4220616,440575,432100,2,2/2/2017,1230,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,78
4220616,440575,432100,2,2/2/2017,1230,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,60
4220736,431507,432550,2,2/2/2017,1315,A61,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42
4220863,440935,445753,1,2/2/2017,1445,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,59
4230442,424589,439358,3,2/3/2017,1011,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,83
4230500,430119,433796,2,1/21/2017,1909,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,25
4230566,428046,424375,2,2/3/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,30
4230696,431002,426514,2,2/3/2017,1243,M1,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,23
4231034,430156,433763,1,2/3/2017,1155,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,65
4231213,421297,434056,2,2/3/2017,1615,A647,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,45
4231514,427206,435738,1,2/3/2017,1920,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,23
4240448,425413,440393,3,2/4/2017,0905,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,47
4240541,428749,438559,1,2/4/2017,1019,A6120,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Fatal,Female,43
4241230,431288,433861,2,2/4/2017,1450,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,75
4241239,427983,436032,2,2/4/2017,1631,A660,Dry,Daylight: Street lights present,Fine without high winds,Car0,Pedestrian,Serious,Female,19
4241383,435406,433577,2,2/4/2017,1805,B6159,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Serious,Male,22
4241546,429597,432562,2,2/4/2017,1936,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,52
4241546,429597,432562,2,2/4/2017,1936,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycleCar,Vehicle or pillion passenger,Slight,Female,40
4241593,433758,425846,2,2/4/2017,2003,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Driver or rider,Slight,Male,27
4241593,433758,425846,2,2/4/2017,2003,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,27
4241593,433758,425846,2,2/4/2017,2003,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,45
4241593,433758,425846,2,2/4/2017,2003,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,5
4241593,433758,425846,2,2/4/2017,2003,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,45
4241593,433758,425846,2,2/4/2017,2003,M62,Dry,Darkness: Street lights present but unlit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,14
4241625,428630,436980,2,2/4/2017,2024,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,77
4241625,428630,436980,2,2/4/2017,2024,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,26
4241625,428630,436980,2,2/4/2017,2024,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,25
4241625,428630,436980,2,2/4/2017,2024,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,27
4251310,425964,434125,2,2/5/2017,1810,A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Fatal,Male,30
4251310,425964,434125,2,2/5/2017,1810,A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,72
4251310,425964,434125,2,2/5/2017,1810,A647,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,70
4251517,433897,436116,2,2/5/2017,2000,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,33
4251517,433897,436116,2,2/5/2017,2000,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,55
4260435,429417,433854,2,2/6/2017,0950,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,43
4261212,431204,434324,1,2/6/2017,1718,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycleCar,Pedestrian,Serious,Female,6
4261261,432397,434884,2,2/6/2017,1430,B6159,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,42
4261344,430211,434362,2,2/6/2017,1815,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,56
4270713,428010,426242,2,2/7/2017,1055,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,84
4270865,429603,431816,2,2/10/2017,1450,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,24
4271286,429213,433497,2,2/7/2017,1740,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,39
4280712,429904,434337,2,2/8/2017,1302,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,19
4280787,431768,434662,1,2/8/2017,1144,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,20
4280868,426626,428772,2,2/8/2017,0800,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,12
4280868,426626,428772,2,2/8/2017,0800,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,12
4280921,425139,437864,1,2/8/2017,1415,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,21
4281245,429763,432753,1,2/8/2017,1730,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,24
4281247,421056,439384,2,2/8/2017,1811,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,25
4281279,417883,443325,2,2/8/2017,1630,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,47
4281406,430098,433900,2,2/8/2017,1900,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,22
4281410,430349,431183,1,2/8/2017,1900,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,14
4281539,438867,426776,1,2/6/2017,1500,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,52
4281541,425541,432450,3,2/8/2017,2024,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,15
4281569,429040,433534,2,1/21/2017,1700,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,55
4281676,430914,436997,1,2/8/2017,1130,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,81
4290195,429076,433048,2,2/9/2017,0645,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,50
4290251,429910,436617,1,2/9/2017,0800,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,15
4290388,430778,438714,3,2/9/2017,0918,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,63
4290660,427403,431207,2,2/6/2017,0810,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,25
4290970,441867,427768,2,2/9/2017,1429,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under,Driver or rider,Slight,Male,16
4291614,430380,434973,2,2/9/2017,2015,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,34
4291614,430380,434973,2,2/9/2017,2015,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,26
42A0906,430627,426522,3,2/10/2017,1450,M62,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,74
42A1271,428644,436994,1,2/10/2017,1800,B6157,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,75
42A1271,428644,436994,1,2/10/2017,1800,B6157,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,59
42A1367,426612,429714,2,2/10/2017,1854,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,57
42A1453,428093,434657,1,2/10/2017,1930,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,12
42A1657,429986,431295,2,2/10/2017,2123,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,19
42C1415,429180,438756,4,2/12/2017,2038,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,48
42D0516,428097,434513,2,2/13/2017,1100,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,23
42D0897,429828,432296,2,2/13/2017,1435,M621,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,31
42D1529,427558,433895,3,2/13/2017,1728,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,46
42D1529,427558,433895,3,2/13/2017,1728,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,40
42E0246,422914,433585,2,2/14/2017,0715,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,46
42E0246,422914,433585,2,2/14/2017,0715,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Vehicle or pillion passenger,Serious,Female,48
42E0449,428191,427777,5,2/14/2017,1033,B6123,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,32
42E0563,428858,436547,1,2/14/2017,0830,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,72
42E0803,430699,433451,1,2/14/2017,1331,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,33
42E1039,427986,430307,2,2/14/2017,1625,A6110,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,52
42F0366,432050,439738,2,2/15/2017,0855,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24
42F0422,422475,427902,2,2/15/2017,0947,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,55
42F0657,433240,434039,1,2/15/2017,1200,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Pedestrian,Serious,Male,20
42F0796,433678,429590,2,2/15/2017,0730,A639,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,30
42F1242,431437,435719,2,2/15/2017,1715,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,51
